index,route_type,length_1,heat_value_1,length_2,heat_value_2,length_3,heat_value_3,length_4,heat_value_4,length_5,heat_value_5,length_ratio,cost_angle_mean,links,correct,,,,,
9,0,0.1236115,0.9926433,0.4223716,0.7960608,0.2573013,1.6082314,0,0,0.1967156,10.1833122,1.7225523,0.0954865,"[1, 887973160, 1257062412, 1257062411, 1257063086, 1257063085, 122634716, 1256449181, 1256449193, 1256449203, 1256449217, 1256449216, 1256449289, 1256449292, 1256449294, 1256449303, 1256449302, 1256320596, 1256320598, 1256320597, 127644640, -127644637, -960267855, 1256449254, 1256449253, 1285436786, 1285436785, -22479350, -1218689546, -1218689547, -1218756696, -1218756775, -1218756788, -1310210669, -1310210670, -1229220528, -1229220529, -122651907, -1034354166, -1034354167, -1039951122, -1039951123, -1039948030, 869007529, 960377935, 1159072311, 1159072310, 960614966, 960614965, 960397315, 960397314, 127629068, 127629067, 127629066, 1159002176, 1159002175, 722750344, 1158986791, 1158986790, -782987205, -887894735, -887894736, 722750341, 722750340, 122657862, 955622148, 955622147, 942185673, 942185672, 17013139, 1195855721, 1195855723, 1195855722, 961503655, -1227375602, 1227375601, 733908672, 1160644212, 1160796044, 1160796043, 781786216, 1227127075, 1227127074, 781884796, 781871978, 781871977, 127628796, 781871976, 781871975, 1162503244, 1162503243, 1159249991, 1159249990, 1229239869, 1229239868]",1,,,,,
9,1,0.1236115,0.9926433,0.4223716,0.7960608,0.2573013,1.6082314,0,0,0.1967156,10.1833122,1.7225523,0.0954865,"[1, 887973160, 1257062412, 1257062411, 1257063086, 1257063085, 122634716, 1256449181, 1256449193, 1256449203, 1256449217, 1256449216, 1256449289, 1256449292, 1256449294, 1256449303, 1256449302, 1256320596, 1256320598, 1256320597, 127644640, -127644637, -960267855, 1256449254, 1256449253, 1285436786, 1285436785, -22479350, -1218689546, -1218689547, -1218756696, -1218756775, -1218756788, -1310210669, -1310210670, -1229220528, -1229220529, -122651907, -1034354166, -1034354167, -1039951122, -1039951123, -1039948030, 869007529, 960377935, 1159072311, 1159072310, 960614966, 960614965, 960397315, 960397314, 127629068, 127629067, 127629066, 1159002176, 1159002175, 722750344, 1158986791, 1158986790, -782987205, -887894735, -887894736, 722750341, 722750340, 122657862, 955622148, 955622147, 942185673, 942185672, 17013139, 1195855721, 1195855723, 1195855722, 961503655, -1227375602, 1227375601, 733908672, 1160644212, 1160796044, 1160796043, 781786216, 1227127075, 1227127074, 781884796, 781871978, 781871977, 127628796, 781871976, 781871975, 1162503244, 1162503243, 1159249991, 1159249990, 1229239869, 1229239868]",1,,,,,
10,0,0.2354265,0.5130749,0.1282901,0.5318678,0.3503085,1.419102,0,0,0.285975,10.1833122,2.1470097,0.0913128,"[1, 887973160, 1257062412, 1257062411, 1257063086, 1257063085, 122634716, 1256449181, 1256449193, 1256449203, 1256449217, 1256449216, 1256449289, 1256449292, 1256449294, 1256449303, 1256449302, 1256320596, 1256320598, 1256320597, 127644640, -127644637, -960267855, 1256449254, 1256449253, 1285436786, 1285436785, -22479350, -1218689546, -1218689547, -1218756696, -1218756775, -1218756788, -1310210669, -1310210670, -1229220528, -1229220529, -960656513, -960656514, -1142848492, -1142848493, -887972693, -887972694, -984829731, -984829732, -984829728, -984829725, -984829724, -984777310, -984777311, -1040843889, -1158699697, -1158699698, -985053415, -984777314, -1158618393, -1229060865, -1229060866, -1045946949, -1045946950, -887918251, -887918252, -888105397, -888105398, -782997721]",1,,,,,
10,1,0.2354265,0.5130749,0.1282901,0.5318678,0.3503085,1.419102,0,0,0.285975,10.1833122,2.1470097,0.0913128,"[1, 887973160, 1257062412, 1257062411, 1257063086, 1257063085, 122634716, 1256449181, 1256449193, 1256449203, 1256449217, 1256449216, 1256449289, 1256449292, 1256449294, 1256449303, 1256449302, 1256320596, 1256320598, 1256320597, 127644640, -127644637, -960267855, 1256449254, 1256449253, 1285436786, 1285436785, -22479350, -1218689546, -1218689547, -1218756696, -1218756775, -1218756788, -1310210669, -1310210670, -1229220528, -1229220529, -960656513, -960656514, -1142848492, -1142848493, -887972693, -887972694, -984829731, -984829732, -984829728, -984829725, -984829724, -984777310, -984777311, -1040843889, -1158699697, -1158699698, -985053415, -984777314, -1158618393, -1229060865, -1229060866, -1045946949, -1045946950, -887918251, -887918252, -888105397, -888105398, -782997721]",1,,,,,
11,0,0.5434438,0.7619396,0,0,0,0,0.4565562,0.417459,0,0,1.1306832,0.1085804,"[1, -1216996381, -1216996382, 1310418529, 1310418528, -1216995996, 1310418543, 1310418542, 46802710, 1216994307, 1216994321, 1216994320, 1216994179, 1216994178, 1207383148, 1207383147, 1310418424, 1310419220, 1310419219, 1216993475, 1012030262, 1012030261, 46803351, 1310419990, 1310419989, 1310419988, 1310420706, 1310420705, 1216991087, 1007548834, 1216991261, 1310420547, 1310420546, 1310420483, 1310420358, 1310420731, 1310421205, 1310421204, 1310421090, 1310421089, 1007548830, 1007548831, 1007548832, 1007548840, 1007548839, 46804092, 1012032005, 1012032008, 1012032007, 1012032006, 46804270, 46804322, 46823167, 118841915, 118841919, 1121778662, 1121778661, 1121778660]",0,,,,,
11,1,0.8567548,0.7769487,0,0,0,0,0.1432452,5.761521,0,0,1.3877229,0.1103753,"[3, 1207382330, -1207382329, 1310418429, 1310418428, -1216988009, -1216988010, -1216991881, -1310423399, -1310423475, -1310423476, -1310423477, -134026868, -1217003583, -1217003584, 882297670, 134026866, 1194144940, 1194144939, 46821672, 1194144938, 1194144937, 46802976, 46821671, 1193721328, 1193721327, 1193721326, 27646944, 1091830155, 1091830154, 1088712070, 46821796, 46821795, 46823167, 118841915, 118841919, 1121778662, 1121778661, 1121778660]",1,,,,,
12,0,0.0631295,0.6135581,0.7866634,1.1279466,0,0,0.1502071,4.3669394,0,0,1.2234622,0.0771731,"[3, 1207382330, -1207382329, 1310418429, 1310418428, -1216988009, -1216988010, -1216991881, -1310423399, -1310423475, -1310423476, -1310423477, -134026868, -1182701058, -1182701059, -1217005057, -1217005058, -1012030667, -1194141386, -1194141387, -815897878, -46801742, -1202213646, -1202213647, -882297658, -882297659, -777813634, -46800790, -782790233, -782790234, -815897873, -882229100, -882229101, -957168105, -46821651, -46823880, -46823881, -118841804, -1194032425, -1194032426, -1202152975, -1202152976, -1194150597, -46826187, -46826188, -46826169, -118841787, -118841788, -1194032432, -1194032433, -882229088, -882229086, -46826166, -778994762, -1194032427, -1194032428, 118841776, 118841772, 778998931, -778998930]",1,,,,,
12,1,0.0631295,0.6135581,0.7866634,1.1279466,0,0,0.1502071,4.3669394,0,0,1.2234622,0.0771731,"[3, 1207382330, -1207382329, 1310418429, 1310418428, -1216988009, -1216988010, -1216991881, -1310423399, -1310423475, -1310423476, -1310423477, -134026868, -1182701058, -1182701059, -1217005057, -1217005058, -1012030667, -1194141386, -1194141387, -815897878, -46801742, -1202213646, -1202213647, -882297658, -882297659, -777813634, -46800790, -782790233, -782790234, -815897873, -882229100, -882229101, -957168105, -46821651, -46823880, -46823881, -118841804, -1194032425, -1194032426, -1202152975, -1202152976, -1194150597, -46826187, -46826188, -46826169, -118841787, -118841788, -1194032432, -1194032433, -882229088, -882229086, -46826166, -778994762, -1194032427, -1194032428, 118841776, 118841772, 778998931, -778998930]",1,,,,,
13,0,0.6896465,0.9360728,0,0,0,0,0.3103535,6.1181598,0,0,1.3932754,0.0596998,"[3, -1291090269, -1199903807, -1291090760, -1291090761, -1291090273, -1291090271, -112057695, -112057696, -1290375205, -1291090765, -1291090766, -112057706, -112057705, -1200268324, 1200268325, 1200268190, 1269001784, -1269001785, 120900010, -24501862, -28420623, -28420624, -1247786858, -1247786859, -28420620, -120900208, -105555866, -1195530393, -1195530394, -1247786850, -1247786851, -105560580]",0,,,,,
13,1,0.9146987,0.9495676,0,0,0,0,0.006629,138.8811246,0.0786723,15.0953926,1.4273346,0.1906179,"[3, -1291090269, 1290442475, 1290442481, 1290442480, 1290442479, 1290442478, 120900205, -24501691, -112059014, -821524786, -821524787, -971684370, -971684371, -1247786838, -1247786839, -979269443, -28420623, -28420624, -1247786858, -1247786859, -28420620, -120900208, -105555866, -1195530393, -1195530394, -1247786850, -1247786851, -105560580]",1,,,,,
